Designator,Mid X,Mid Y,Layer,Rotation
C1, 5.59,10.79,Top,180.0
C2, 5.59, 9.40,Top,180.0
C3, 4.70, 5.89,Top,90.0
C4,14.10, 1.40,Top,0.0
C5,14.10, 2.79,Top,0.0
C6,68.83,22.23,Top,90.0
C7, 6.27,24.74,Top,180.0
C8,70.23,22.23,Top,90.0
C9, 6.73,14.99,Top,180.0
C10,36.83,19.81,Top,90.0
C11,35.43,19.81,Top,90.0
C12, 6.73,13.59,Top,180.0
D1, 6.42, 6.97,Top,270.0
D2,10.53, 1.39,Top,90.0
D3,31.41,25.70,Top,270.0
D4,31.39,27.55,Top,270.0
D5,17.52,27.34,Top,90.0
D6,17.54,25.51,Top,90.0
J3, 1.27,16.00,Top,270.0
LED1,53.85,16.76,Top,90.0
LED2,12.95,21.08,Top,180.0
LED3,13.97,21.08,Top,180.0
Q1, 9.94,29.11,Top,90.0
Q2, 9.93,25.76,Top,90.0
R1, 6.24,29.49,Top,0.0
R2, 6.93, 1.39,Top,0.0
R3, 6.24,26.14,Top,180.0
R4, 6.24,27.96,Top,180.0
R5,12.40,25.70,Top,90.0
R6,12.40,29.11,Top,90.0
R7,45.56,20.83,Top,0.0
R8,45.56,19.43,Top,0.0
R9,45.56,17.91,Top,0.0
R10,45.56,14.86,Top,0.0
R11,45.56,16.38,Top,0.0
R12,16.26,23.11,Top,180.0
R13,16.26,21.84,Top,180.0
R14,34.61,14.22,Top,270.0
R15,36.17,14.23,Top,270.0
R16,14.10,11.68,Top,270.0
R17,37.58,14.23,Top,270.0
R18,16.63,12.49,Top,270.0
R19,27.45,25.83,Top,0.0
R20,27.46,27.50,Top,0.0
R21,21.50,27.36,Top,180.0
R22,21.48,25.64,Top,180.0
SW1, 2.42, 6.15,Top,90.0
SW2, 2.50,22.50,Top,90.0
U1,10.92, 8.13,Top,0.0
U2,69.11,13.00,Top,270.0
U3,11.43,16.51,Top,0.0
U4,29.36,23.14,Top,180.0
